service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2197,0,0,0,0,1,0,0,20190208,20190405
5336,1,1,1,1,0,0,1,20190106,20190404
184,1,1,1,1,1,0,0,20190107,20190201
5137,1,1,1,1,1,1,0,20190107,20190406
1243,0,0,0,0,0,0,1,20190106,20190331
5118,1,1,1,1,1,1,0,20190107,20190406
1628,1,1,1,1,1,0,0,20190107,20190405
1270,0,0,0,0,0,1,0,20190112,20190406
5250,1,1,1,1,1,0,0,20190107,20190405
5120,1,1,1,1,1,1,1,20190106,20190406
5244,0,0,0,0,0,1,1,20190106,20190406
1085,0,0,0,0,0,0,1,20190210,20190331
424,1,1,1,1,1,0,0,20190204,20190405
1242,1,1,1,1,1,1,0,20190107,20190406
5247,1,1,1,1,1,1,1,20190106,20190406
5324,0,0,0,0,0,1,0,20190106,20190406
2385,1,1,1,1,1,0,0,20190211,20190222
5252,1,1,1,1,1,1,1,20190106,20190406
5240,1,1,1,1,1,1,1,20190106,20190406
1290,1,1,1,1,1,0,1,20190106,20190405
5349,1,1,1,1,1,1,1,20190106,20190406
223,1,1,1,1,1,1,0,20190107,20190202
4569,0,0,0,0,0,1,0,20190209,20190406
5149,1,1,1,1,1,1,0,20190107,20190406
5377,1,1,1,1,1,0,0,20190107,20190405
5380,1,0,0,0,0,0,0,20190114,20190128
2473,1,1,1,1,1,1,0,20190107,20190406
5338,0,0,0,0,1,0,1,20190208,20190405
5339,0,0,0,0,1,0,1,20190106,20190203
5323,1,1,1,1,1,1,0,20190204,20190406
5321,0,0,0,0,0,0,1,20190106,20190331
5267,1,1,1,1,1,0,0,20190204,20190405
5329,1,1,1,1,0,0,1,20190106,20190404
5337,1,1,1,1,1,1,0,20190107,20190406
5328,0,0,0,0,0,1,0,20190112,20190406
445,0,0,0,0,0,1,0,20190209,20190406
5320,0,0,0,0,0,0,1,20190106,20190331
5138,1,1,1,1,1,0,1,20190106,20190405
5342,0,0,0,0,0,1,0,20190209,20190406
5343,1,1,1,1,1,0,1,20190106,20190405
2760,1,1,1,1,1,1,1,20190106,20190113
2762,1,1,1,1,1,1,1,20190225,20190322
2764,1,1,1,1,1,1,1,20190114,20190224
2763,1,1,1,1,1,1,1,20190325,20190406
5219,0,0,0,0,0,1,1,20190323,20190324
5221,0,1,1,1,1,0,0,20190226,20190405
5220,1,0,0,0,0,1,1,20190225,20190406
5222,1,1,1,1,1,1,1,20190106,20190224
4007,1,1,1,1,1,1,1,20190106,20190406
4019,0,0,0,0,0,0,1,20190106,20190317
4020,1,1,1,1,1,1,1,20190106,20190406
4027,0,0,0,0,1,1,0,20190208,20190310
